 0.00000E+00 9.00000E+00    2251 4.00000E-03
 LogT          HIci          HeIci         HeIIci        HIIrcA        HeIIrcA       HeIIIrcA      HIIrcB        HeIIrcB       HeIIIrcB      HeDrc         HIIrccA       HeIIrccA      HeIIIrccA     HIIrccB       HeIIrccB      HeIIIrccB     HeDrcc        HIcic         HeIcic        HeIIcic       He23cic       HIcec         HeIcec        HeIIcec       
               cen92         cen92         cen92         cen92         cen92         cen92         hui97         hui97         hui97         cen92         cen92         cen92         cen92         hui97         hui97         hui97         cen92         cen92         cen92         cen92         cen92         cen92         cen92         cen92         
 1.96000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.43805E-10   1.12609E-10   9.75218E-10   8.80541E-11   1.86492E-10   4.01762E-10   0.00000E+00   3.96535E-26   1.82731E-26   1.58614E-25   1.70628E-26   4.04337E-26   3.07700E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.00000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.42238E-10   1.11952E-10   9.68950E-10   8.75712E-11   1.85208E-10   3.99574E-10   0.00000E+00   3.97632E-26   1.83346E-26   1.59053E-25   1.71273E-26   4.05269E-26   3.08885E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.04000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.40681E-10   1.11299E-10   9.62723E-10   8.70910E-11   1.83933E-10   3.97398E-10   0.00000E+00   3.98732E-26   1.83963E-26   1.59493E-25   1.71920E-26   4.06203E-26   3.10075E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.08000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.39134E-10   1.10649E-10   9.56535E-10   8.66134E-11   1.82667E-10   3.95233E-10   0.00000E+00   3.99835E-26   1.84582E-26   1.59934E-25   1.72570E-26   4.07139E-26   3.11269E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.12000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.37597E-10   1.10004E-10   9.50388E-10   8.61384E-11   1.81409E-10   3.93081E-10   0.00000E+00   4.00941E-26   1.85203E-26   1.60376E-25   1.73222E-26   4.08078E-26   3.12467E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.16000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.36070E-10   1.09362E-10   9.44279E-10   8.56660E-11   1.80160E-10   3.90940E-10   0.00000E+00   4.02050E-26   1.85826E-26   1.60820E-25   1.73876E-26   4.09019E-26   3.13670E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.20000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.34553E-10   1.08724E-10   9.38210E-10   8.51961E-11   1.78920E-10   3.88810E-10   0.00000E+00   4.03163E-26   1.86451E-26   1.61265E-25   1.74533E-26   4.09961E-26   3.14878E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.24000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.33045E-10   1.08090E-10   9.32180E-10   8.47288E-11   1.77689E-10   3.86692E-10   0.00000E+00   4.04278E-26   1.87079E-26   1.61711E-25   1.75193E-26   4.10907E-26   3.16090E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.28000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.31547E-10   1.07459E-10   9.26189E-10   8.42640E-11   1.76465E-10   3.84586E-10   0.00000E+00   4.05396E-26   1.87708E-26   1.62158E-25   1.75854E-26   4.11854E-26   3.17307E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.32000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.30059E-10   1.06832E-10   9.20236E-10   8.38018E-11   1.75251E-10   3.82491E-10   0.00000E+00   4.06518E-26   1.88340E-26   1.62607E-25   1.76518E-26   4.12803E-26   3.18528E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.36000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.28581E-10   1.06209E-10   9.14322E-10   8.33420E-11   1.74044E-10   3.80407E-10   0.00000E+00   4.07642E-26   1.88973E-26   1.63057E-25   1.77185E-26   4.13755E-26   3.19754E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.40000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.27111E-10   1.05589E-10   9.08446E-10   8.28848E-11   1.72846E-10   3.78335E-10   0.00000E+00   4.08770E-26   1.89609E-26   1.63508E-25   1.77853E-26   4.14709E-26   3.20984E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
 2.44000E-01   0.00000E+00   0.00000E+00   0.00000E+00   2.25652E-10   1.04973E-10   9.02607E-10   8.24300E-11   1.71656E-10   3.76273E-10   0.00000E+00   4.09901E-26   1.90247E-26   1.63960E-25   1.78525E-26   4.15665E-26   3.22219E-25   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00   0.00000E+00
