 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
   15.5761    5.0000   15.1114   14.7029    5.0047    3.0510    3.4889    5.4359  6.3487E+00     -0.0382  1.2640E-02
   15.5781    5.0000   15.1114   14.6997    5.0156    3.0600    3.4872    5.4359  6.3454E+00     -0.0382  1.1768E-02
   15.5801    5.0000   15.1114   14.6964    5.0266    3.0689    3.4855    5.4359  6.3420E+00     -0.0382  1.0938E-02
   15.5821    5.0000   15.1114   14.6930    5.0376    3.0778    3.4837    5.4359  6.3385E+00     -0.0382  1.0152E-02
   15.5841    5.0000   15.1114   14.6896    5.0485    3.0868    3.4820    5.4359  6.3349E+00     -0.0382  9.4121E-03
   15.5860    5.0000   15.1114   14.6860    5.0595    3.0957    3.4803    5.4359  6.3312E+00     -0.0382  8.7182E-03
   15.5879    5.0000   15.1114   14.6824    5.0705    3.1047    3.4785    5.4359  6.3274E+00     -0.0382  8.0702E-03
   15.5897    5.0000   15.1114   14.6786    5.0814    3.1137    3.4768    5.4359  6.3236E+00     -0.0382  7.4674E-03
   15.5915    5.0000   15.1114   14.6748    5.0924    3.1227    3.4750    5.4359  6.3196E+00     -0.0382  6.9084E-03
   15.5932    5.0000   15.1114   14.6709    5.1034    3.1316    3.4733    5.4359  6.3155E+00     -0.0382  6.3915E-03
   15.5950    5.0000   15.1114   14.6668    5.1143    3.1406    3.4715    5.4359  6.3113E+00     -0.0382  5.9149E-03
   15.5967    5.0000   15.1114   14.6627    5.1253    3.1496    3.4698    5.4359  6.3070E+00     -0.0382  5.4761E-03
   15.5983    5.0000   15.1114   14.6584    5.1363    3.1586    3.4680    5.4359  6.3026E+00     -0.0382  5.0730E-03
   15.5999    5.0000   15.1114   14.6541    5.1472    3.1676    3.4663    5.4359  6.2981E+00     -0.0382  4.7031E-03
   15.6015    5.0000   15.1114   14.6496    5.1582    3.1767    3.4645    5.4359  6.2935E+00     -0.0382  4.3639E-03
   15.6031    5.0000   15.1114   14.6450    5.1692    3.1857    3.4627    5.4359  6.2887E+00     -0.0382  4.0531E-03
   15.6046    5.0000   15.1114   14.6403    5.1802    3.1947    3.4609    5.4359  6.2838E+00     -0.0382  3.7684E-03
   15.6061    5.0000   15.1114   14.6354    5.1911    3.2038    3.4592    5.4359  6.2788E+00     -0.0382  3.5075E-03
   15.6076    5.0000   15.1114   14.6305    5.2021    3.2128    3.4574    5.4359  6.2737E+00     -0.0382  3.2685E-03
   15.6090    5.0000   15.1114   14.6254    5.2131    3.2219    3.4556    5.4359  6.2684E+00     -0.0382  3.0493E-03
   15.6104    5.0000   15.1114   14.6201    5.2240    3.2309    3.4538    5.4359  6.2630E+00     -0.0382  2.8482E-03
   15.6118    5.0000   15.1114   14.6147    5.2350    3.2400    3.4520    5.4359  6.2574E+00     -0.0382  2.6635E-03
   15.6131    5.0000   15.1114   14.6092    5.2460    3.2491    3.4502    5.4359  6.2517E+00     -0.0382  2.4938E-03
   15.6145    5.0000   15.1114   14.6035    5.2569    3.2581    3.4484    5.4359  6.2458E+00     -0.0382  2.3375E-03
   15.6158    5.0000   15.1114   14.5977    5.2679    3.2672    3.4466    5.4359  6.2398E+00     -0.0382  2.1936E-03
   15.6170    5.0000   15.1114   14.5917    5.2789    3.2763    3.4448    5.4359  6.2337E+00     -0.0382  2.0608E-03
   15.6183    5.0000   15.1114   14.5856    5.2898    3.2854    3.4430    5.4359  6.2273E+00     -0.0382  1.9380E-03
   15.6195    5.0000   15.1114   14.5793    5.3008    3.2945    3.4412    5.4359  6.2208E+00     -0.0382  1.8245E-03
   15.6207    5.0000   15.1114   14.5728    5.3118    3.3036    3.4394    5.4359  6.2142E+00     -0.0382  1.7193E-03
   15.6208    5.0000   15.1114   14.5724    5.3125    3.3042    3.4393    5.4359  6.2137E+00     -0.0382  1.7128E-03
   15.6208   13.0000   15.1114    2.2422    0.5360   -4.8539    6.3242    2.2422  1.0000E-10     15.6208  2.0000E+08
   15.7208   13.0000   15.1114    2.2422    0.5360   -4.8539    6.3242    2.2422  1.0000E-10     15.6208  2.0000E+08
   16.7208   13.0000   15.1114    2.2422   -1.5468   -4.8539    5.8035    2.2422  1.0000E-10     15.6208  2.0000E+08
   26.7208   13.0000   15.1114    2.2422   -3.5547   -4.8539    5.3015    2.2422  1.0000E-10     15.6208  2.0000E+08
  126.7208   13.0000   15.1114    2.2422   -5.5555   -4.8539    4.8013    2.2422  1.0000E-10     15.6208  2.0000E+08
  626.7208   13.0000   15.1114    2.2422   -7.0362   -4.8539    4.4311    2.2422  1.0000E-10     15.6208  2.0000E+08
 1126.7208   13.0000   15.1114    2.2422   -7.5555   -4.8539    4.3013    2.2422  1.0000E-10     15.6208  2.0000E+08
